timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1669133929281,30,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-2,text,true,,524,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,30,0,0
1669133929903,158,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-5,text,true,,523,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,158,0,80
1669133929903,170,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-7,text,true,,524,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,170,0,89
1669133929903,266,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-6,text,true,,523,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,266,0,91
1669133930061,118,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-5,text,true,,525,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,118,0,0
1669133930885,35,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-4,text,true,,525,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,35,0,0
1669133930886,177,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-1,text,true,,524,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,177,0,80
1669133930886,177,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-10,text,true,,524,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,177,0,79
1669133930886,186,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-9,text,true,,525,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,186,0,83
1669133931063,108,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-1,text,true,,524,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,108,0,0
1669133931532,39,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-7,text,true,,522,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,39,0,0
1669133931533,140,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-3,text,true,,525,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,140,0,90
1669133931673,90,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-3,text,true,,525,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,90,0,0
1669133932158,132,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-2,text,true,,524,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,132,0,98
1669133932290,83,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-2,text,true,,524,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,83,0,0
1669133932705,55,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-10,text,true,,523,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,55,0,0
1669133932705,64,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-9,text,true,,525,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,64,0,0
1669133933170,32,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-6,text,true,,523,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,32,0,0
1669133933204,109,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-6,text,true,,523,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,109,0,78
1669133933810,55,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-8,text,true,,523,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,55,0,0
1669133933811,150,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-4,text,true,,524,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,150,0,84
1669133933811,151,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-3,text,true,,523,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,151,0,81
1669133933963,30,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-3,text,true,,523,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,30,0,0
1669133934547,122,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-10,text,true,,525,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,122,0,75
1669133934547,123,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-9,text,true,,525,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,123,0,71
1669133934547,224,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-7,text,true,,524,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,224,0,78
1669133934669,106,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-10,text,true,,523,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,106,0,0
1669133934771,93,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-7,text,true,,524,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,93,0,0
1669133935406,34,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-4,text,true,,523,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,34,0,0
1669133935407,156,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-8,text,true,,525,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,156,0,91
1669133935407,167,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-1,text,true,,525,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,167,0,95
1669133935563,105,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-8,text,true,,523,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,105,0,0
1669133935990,80,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-9,text,true,,525,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,80,0,0
1669133935990,174,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-6,text,true,,524,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,174,0,0
1669133936070,207,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-9,text,true,,525,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,207,0,117
1669133936277,102,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-9,text,true,,525,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,102,0,0
1669133936381,144,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-9,text,true,,524,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,144,0,99
1669133936901,34,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-1,text,true,,524,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,34,0,0
1669133936901,168,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-5,text,true,,524,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,168,0,93
1669133936901,186,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-4,text,true,,525,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,186,0,93
1669133937069,107,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-5,text,true,,525,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,107,0,0
1669133937485,375,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-6,text,true,,524,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,374,0,88
1669133937485,379,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-10,text,true,,525,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,379,0,96
1669133937861,306,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-6,text,true,,523,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,306,0,0
1669133937864,309,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-10,text,true,,523,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,309,0,0
1669133938167,308,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-6,text,true,,524,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,307,0,79
1669133937861,615,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-3,text,true,,524,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,614,0,79
1669133938476,102,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-6,text,true,,524,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,102,0,0
1669133938173,589,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-10,text,true,,525,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,589,0,386
1669133938579,287,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-6,text,true,,524,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,287,0,90
1669133938762,121,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-10,text,true,,525,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,121,0,0
1669133938866,209,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-6,text,true,,525,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,208,0,0
1669133939072,196,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-8,text,true,,524,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,196,0,85
1669133939268,108,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-8,text,true,,522,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,108,0,0
1669133939377,198,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-8,text,true,,525,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,198,0,86
1669133939575,100,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-8,text,true,,525,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,100,0,0
1669133939676,199,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-8,text,true,,523,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,199,0,102
1669133939875,89,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-8,text,true,,525,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,89,0,0
1669133940223,42,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-9,text,true,,524,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,42,0,0
1669133940224,148,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-10,text,true,,524,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,148,0,97
1669133940372,97,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-10,text,true,,524,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,97,0,0
1669133940745,43,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-4,text,true,,524,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,43,0,0
1669133940745,127,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-2,text,true,,522,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,127,0,89
1669133940872,93,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-2,text,true,,524,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,93,0,0
1669133940966,136,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-2,text,true,,525,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,136,0,94
1669133941103,61,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-2,text,true,,524,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,61,0,0
1669133941164,114,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-2,text,true,,524,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,114,0,74
1669133941712,154,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-9,text,true,,523,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,154,0,71
1669133941712,161,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-10,text,true,,523,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,161,0,84
1669133941712,251,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-6,text,true,,524,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,251,0,79
1669133941867,117,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-9,text,true,,525,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,117,0,0
